tweet,sentiment
"RT @ComplexMusic: YG says he'll perform FDT at Trump's inauguration, but only if you pay him $4 million:  https://t.co/SemK8xXCHO https://t…",neutral
RT @SputnikInt: Human Rights Watch calls #Trump and European populists #human #rights threats https://t.co/hTcXyLcimz @hrw https://t.co/aQu…,neutral
"RT @itele: #ÉtatsUnis &gt; A quelques jours de l'investiture de Donald #Trump, des manifestations prévues dans tout le pays 
&gt;&gt; https://t.co/T…",neutral
"At Paris meeting, major powers to warn Trump over Middle East peace

https://t.co/ukPx4Ebi43",positive
RT @JoshHallGOP: Opera singer Andrea Bocelli backed out of singing at Trump's inauguration b/c of death threats. Liberals are attacking fre…,neutral
RT @WesleyLowery: Trump - whose AG pick condemned by Coretta Scott King for prosecuting civil rights workers - now spending MLK weekend att…,neutral
RT @RWulgaert: Niet alleen Gove of Trump hebben het wat gehad met empirisch onderzoek en rationele kritiek. Leve het buikgevoel! #onderwijs…,neutral
RT @Khanoisseur: Media devoted 5x as many stories to Clinton emails than to Trump biz conflict of interests wonders how he could've won @Ju…,positive
@blitzwbop @filbrickpines Trump tiene uno en el baño.,neutral
The view of many Americans. They vote for Trump as a bill against Corporation puppets. It must really have been bad… https://t.co/nWgofjgZr8,positive
RT @biafra_tv: IPOB Trump Solidarity Rally Igweocha (Port Harcourt) 20-01-2017 Day 1 Twitter Campaign https://t.co/Gun1ofgRFg https://t.co/…,neutral
RT @so_mkb: la famille de obama on dirai celle dsma famille d'abord alors qcell d trump y on trop d tetes a faire la purge comme dans ameri…,neutral
"RT @thehill: GOP senator shreds Trump: John Lewis changed the world
https://t.co/4vMjxZZU9t https://t.co/zeyalUs9g5",neutral
Alec Baldwin's Donald Trump showers 'SNL' with urination jokes - USA TODAY https://t.co/JiFl9AwtvO,neutral
"RT @Don_Vito_08: Nobody in the #Trump campaign has ever said a racist word and yet they keep calling him a racist...He's not a racist
#Make…",neutral
